HOUSEID,WTHHFIN,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,FLAG100,HHFAMINC,HHFAMINC_IMP,HH_RACE,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSACAT,MSASIZE,TRAVDAY,URBAN,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,TDAYDATE,WRKCOUNT,STRATUMID
9000013099,6152.523282,2,1,1,1,1,1,2,2,2,11,1,11,11,1,2,2,1,2,1,4,4,1,4,1,0,0,2,1,202202,2,1021
9000015676,4397.392572,2,2,1,2,5,3,2,2,2,52,1,11,11,1,2,2,1,2,2,4,1,1,2,1,0,0,2,1,202202,0,1029
9000018343,16160.426,1,1,2,2,9,4,2,1,5,92,1,10,10,1,1,2,2,9,2,5,2,1,5,1,0,0,1,1,202201,0,1037
9000018345,5226.785553,2,1,1,1,9,4,2,2,0,91,1,10,10,1,2,2,1,2,1,5,2,1,4,1,0,0,2,1,202202,1,1037
9000018787,8349.292841,2,1,1,2,9,4,2,2,2,93,1,11,11,1,2,3,1,10,3,2,4,4,6,2,0,0,2,2,202202,2,1038
9000018817,3642.479261,2,1,1,2,9,4,2,2,4,92,1,10,10,1,2,5,1,10,2,4,2,1,5,1,0,0,2,1,202202,1,1037
9000018846,3772.991745,1,1,1,2,9,4,2,1,2,93,1,8,8,1,1,2,2,9,3,2,2,1,1,1,0,0,1,1,202201,0,1037
9000018881,6216.33895,2,3,2,1,9,4,2,2,3,91,1,5,5,1,3,3,1,6,1,5,2,1,4,1,1,0,3,1,202202,2,1037
9000018940,3678.552294,2,1,1,2,9,4,2,2,4,92,1,9,9,1,2,3,1,10,2,4,3,1,5,1,0,0,2,1,202202,0,1037
9000019105,14788.32959,3,3,1,1,9,4,2,3,4,91,1,11,11,1,3,3,2,2,1,5,2,1,4,1,0,0,3,1,202201,3,1037
9000045670,9770.573444,2,1,1,1,9,4,2,2,2,91,1,11,11,3,2,2,1,2,1,5,4,1,4,1,0,0,2,1,202203,1,1037
9000046478,15979.33335,2,2,1,2,7,3,2,2,2,72,1,8,8,1,2,2,1,10,2,5,3,1,5,1,0,0,2,1,202203,0,1033
9000047269,9659.976277,1,1,1,2,9,4,1,1,0,92,1,10,10,3,1,1,2,1,2,5,4,1,5,1,0,0,1,1,202202,1,1037
9000047589,12184.31497,2,1,1,1,9,4,2,2,2,91,1,11,11,3,2,2,1,2,1,5,5,1,4,1,0,0,2,1,202203,2,1037
9000048090,6664.158276,4,1,1,2,3,2,2,4,8,34,1,7,7,1,4,4,1,2,4,6,1,2,6,1,0,0,4,1,202202,4,1025
9000048197,35564.73209,3,2,1,2,5,3,2,3,10,52,1,11,11,1,3,3,1,2,2,4,2,1,5,1,0,0,3,1,202203,2,1029
9000048627,4050.939044,2,1,1,2,2,1,2,3,4,22,2,9,9,1,4,2,1,6,2,4,5,1,5,1,2,0,3,1,202202,2,1023
9000049158,12808.34083,3,1,1,1,9,4,1,2,6,91,1,11,11,1,3,2,1,2,1,5,1,1,4,1,0,0,3,1,202202,3,1037
9000049347,16363.9521,2,1,2,1,9,4,2,2,8,91,1,8,8,1,4,2,1,4,1,5,2,1,2,1,0,2,2,1,202203,2,1037
9000049704,6671.879309,3,1,1,2,9,4,2,3,6,93,1,8,8,1,4,3,1,4,3,1,3,4,6,2,0,1,3,2,202202,2,1038
9000049802,10162.58433,2,1,2,2,5,3,2,2,2,52,1,11,11,1,2,2,1,10,2,5,3,1,5,1,0,0,2,1,202202,2,1029
9000049817,11039.62722,4,3,2,2,7,3,2,4,0,72,1,2,2,1,5,3,1,8,2,5,1,1,5,1,1,0,5,1,202203,2,1033
