HOUSEID,WTHHFIN,WTHHFIN5D,WTHHFIN2D,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,FLAG100,HHFAMINC,HHFAMINC_IMP,HH_RACE,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSACAT,MSASIZE,TRAVDAY,URBAN,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,TDAYDATE,WRKCOUNT,STRATUMID
9000013002,4683.562599,0,14269.46421,2,1,1,1,1,1,2,2,7,11,1,11,11,1,4,2,1,4,1,5,1,1,4,1,2,0,4,1,202202,1,1021
9000013016,2953.682712,3785.827852,0,2,3,3,2,1,1,2,2,6,13,1,7,7,1,2,1,1,2,3,3,4,1,2,1,0,0,2,1,202202,2,1021
9000013026,9825.617473,14296.39399,0,1,3,3,1,1,1,2,1,0,11,1,10,10,1,1,0,2,1,1,5,3,1,4,1,0,0,1,1,202202,1,1021
9000013039,9609.157141,12211.96792,0,2,3,3,1,1,1,2,2,2,11,1,7,7,1,4,1,1,6,1,4,5,1,4,1,2,0,4,1,202201,1,1021
9000013041,4771.408635,6848.795739,0,1,1,2,2,1,1,2,1,0,12,1,11,11,1,1,1,2,1,2,4,2,1,3,1,0,0,1,1,202201,1,1021
9000013042,7518.766643,10909.47688,0,2,1,1,1,1,1,2,2,4,11,1,11,11,3,3,2,1,4,1,5,6,1,4,1,0,1,2,1,202202,2,1021
9000013043,4047.551952,5065.291441,0,1,2,1,1,1,1,2,1,1,11,1,6,6,1,1,1,2,9,1,5,3,1,4,1,0,0,1,1,202202,0,1021
9000013044,4499.413148,5886.673248,0,2,3,3,1,1,1,2,2,4,11,1,7,7,1,2,2,1,2,1,5,6,1,4,1,0,0,2,1,202202,2,1021
9000013045,5202.127231,6508.938236,0,2,3,3,1,1,1,2,1,8,11,1,6,6,1,2,1,1,2,1,5,2,1,4,1,0,0,2,1,202202,2,1021
9000013046,6499.49122,0,17706.06828,2,2,1,1,1,1,2,2,0,11,1,10,10,1,2,2,1,10,1,4,1,1,4,1,0,0,2,1,202201,0,1021
9000013048,68568.94724,97465.87367,0,1,3,3,2,1,1,1,0,0,13,1,2,2,97,1,0,2,1,3,3,3,2,6,1,0,0,1,1,202202,0,1021
9000013068,7234.115376,0,11378.67443,2,1,1,2,1,1,2,2,6,12,1,10,10,1,5,2,1,4,2,4,1,4,6,2,1,2,3,2,202202,1,1022
9000013081,9047.270199,19942.70158,0,2,2,1,2,1,1,2,2,7,13,1,6,6,1,2,3,1,10,3,3,5,4,6,2,0,0,2,2,202202,1,1022
9000013083,6781.898043,8601.282782,0,2,2,1,1,1,1,2,2,0,11,1,7,7,3,2,2,1,10,1,5,6,4,6,2,0,0,2,1,202202,0,1021
9000013086,10752.85516,0,38006.16501,2,2,1,2,1,1,2,2,1,12,1,6,6,1,2,2,1,10,2,4,1,1,3,1,0,0,2,1,202201,0,1021
9000013099,6152.523282,8667.977575,0,2,1,1,1,1,1,2,2,2,11,1,11,11,1,2,2,1,2,1,4,4,1,4,1,0,0,2,1,202202,2,1021
9000013104,36860.17918,49337.3492,0,3,1,3,1,1,1,2,3,0,13,1,6,6,2,3,3,1,2,3,3,3,1,3,1,0,0,3,1,202202,0,1021
9000013122,15895.45368,0,45984.76212,3,1,1,2,1,1,2,3,7,13,1,11,11,1,3,2,1,10,3,3,7,4,6,2,0,0,3,1,202203,2,1021
9000013145,16534.33541,0,75162.52939,1,2,1,1,1,1,2,1,3,11,1,6,6,1,1,1,2,1,1,4,7,1,4,1,0,0,1,1,202202,1,1021
9000013148,4079.470338,8322.106289,0,2,1,1,2,1,1,2,2,0,13,1,6,6,1,2,2,1,10,3,2,6,4,6,2,0,0,2,2,202202,0,1022
9000013158,8399.761666,10610.62336,0,2,2,1,2,1,1,2,2,5,12,1,5,5,1,2,2,1,10,2,4,4,4,6,2,0,0,2,1,202202,0,1021
9000013164,7506.812833,9539.810389,0,8,3,3,2,1,1,2,2,8,13,1,5,5,1,8,1,2,2,3,1,3,1,1,1,0,0,8,1,202202,1,1021
9000013165,15145.40677,0,64561.83614,1,3,3,1,1,1,2,1,0,11,1,5,5,2,1,3,2,1,1,5,1,1,4,1,0,0,1,1,202201,1,1021
9000013167,8733.89,11413.75745,0,3,1,3,1,1,1,2,3,6,11,1,8,8,1,4,2,1,4,1,5,2,1,4,1,0,1,3,1,202202,2,1021
9000013183,21141.25124,27977.67165,0,2,1,1,2,1,1,2,2,22,13,1,7,7,1,6,2,1,6,3,3,5,1,2,1,4,0,6,1,202203,2,1021
9000013206,24093.60045,30219.62819,0,1,3,3,1,1,1,1,1,0,11,1,4,4,1,3,1,1,5,1,5,3,1,4,1,2,0,3,1,202202,1,1021
9000013216,4473.237261,5870.902606,0,1,1,1,1,1,1,2,1,0,11,1,9,9,1,1,1,2,1,1,5,2,1,4,1,0,0,1,1,202201,1,1021
9000013237,42090.42657,0,75632.4769,2,1,3,2,1,1,2,2,4,13,1,11,11,1,2,2,1,2,3,1,7,4,6,2,0,0,2,2,202202,2,1022
9000013246,9631.763103,24465.93801,0,1,1,1,2,1,1,2,1,7,13,1,11,11,1,1,1,2,1,3,1,5,2,6,1,0,0,1,1,202202,1,1022
9000013255,7259.333072,0,11401.18922,2,2,1,2,1,1,2,2,4,13,1,7,7,1,2,2,1,10,3,1,1,1,1,1,0,0,2,1,202202,0,1022
9000013256,3722.010699,8166.55997,0,1,1,1,2,1,1,2,1,0,14,1,9,9,1,1,1,2,9,4,6,2,4,6,2,0,0,1,2,202202,0,1022
9000013265,5548.839892,11974.50749,0,2,1,1,2,1,1,2,2,0,14,1,5,5,1,2,2,1,10,4,6,4,4,6,2,0,0,2,2,202211,0,1022
9000013267,3598.361272,6928.646175,0,1,3,3,2,1,1,2,1,0,13,1,4,4,1,1,1,2,9,3,1,4,4,6,2,0,0,1,2,202202,0,1022
9000013268,7112.377621,0,13986.49533,2,1,1,2,1,1,2,2,15,13,1,6,6,1,4,2,1,6,3,1,1,2,6,1,2,0,4,1,202202,2,1022
9000013269,5872.11953,11952.42952,0,2,2,1,2,1,1,2,2,0,13,1,6,6,1,2,2,1,10,3,1,6,1,3,1,0,0,2,1,202202,0,1022
9000013284,6257.376021,15236.88305,0,3,1,1,2,1,1,2,3,6,14,1,11,11,1,3,3,1,2,4,6,6,2,6,1,0,0,3,1,202202,3,1022
9000013285,3277.028214,0,6393.374747,1,1,1,2,1,1,2,1,0,14,1,3,3,1,1,2,2,1,4,6,1,4,6,2,0,0,1,2,202202,0,1022
9000013287,5186.744532,10862.40527,0,2,2,1,2,1,1,2,2,3,14,1,7,7,1,2,2,1,10,4,6,3,4,6,2,0,0,2,2,202202,1,1022
9000013293,4947.035966,0,9510.056333,2,1,1,2,1,1,2,2,4,13,1,6,6,1,2,2,1,10,3,1,1,4,6,2,0,0,2,2,202202,1,1022
9000013313,11543.87748,14241.89399,0,1,2,1,2,2,1,2,1,2,22,1,2,2,1,1,1,2,9,2,4,6,1,3,1,0,0,1,1,202201,0,1023
9000013315,18662.56757,23805.76246,0,1,1,1,1,2,1,2,1,0,21,1,6,6,3,1,0,2,1,1,5,3,1,4,1,0,0,1,1,202201,1,1023
9000013338,4090.131565,5166.711365,0,1,3,3,1,2,1,2,0,2,21,1,3,3,1,1,0,2,1,1,5,3,1,4,1,0,0,1,1,202202,0,1023
9000013354,20773.77312,26239.33078,0,2,3,3,1,2,1,2,0,2,21,1,6,6,3,2,0,1,2,1,5,2,1,4,1,0,0,2,1,202201,1,1023
9000013356,3597.023014,0,10957.67253,2,1,1,1,2,1,2,2,4,21,1,7,7,1,2,2,1,10,1,5,1,1,4,1,0,0,2,1,202202,0,1023
9000013358,28672.83578,35009.78023,0,1,3,3,1,2,1,2,0,0,21,1,5,5,3,1,0,2,9,1,5,4,1,4,1,0,0,1,1,202202,0,1023
9000013360,33060.05076,46347.03825,0,4,1,1,1,2,1,2,4,7,21,1,9,9,1,4,4,1,8,1,5,6,1,4,1,0,0,4,1,202202,3,1023
9000013362,15755.10487,21706.95114,0,2,1,1,2,2,1,2,2,7,22,1,9,9,1,4,2,1,4,2,4,4,1,5,1,1,1,3,1,202202,2,1023
9000013366,7433.531604,12034.29882,0,3,2,1,1,2,1,2,3,12,21,1,10,10,1,3,3,1,10,1,5,6,1,4,1,0,0,3,1,202202,2,1023
9000013373,5471.357817,6530.172271,0,1,1,4,2,2,1,2,1,0,23,1,5,5,1,1,2,2,9,3,3,6,1,3,1,0,0,1,1,202202,1,1023
9000013380,11880.07208,17481.18508,0,3,1,1,2,2,1,2,2,3,22,1,11,11,1,3,2,1,10,2,4,4,1,5,1,0,0,3,1,202202,2,1023
9000013382,7452.244473,9958.263312,0,1,3,3,1,2,1,2,1,0,21,1,7,7,3,1,1,2,1,1,5,3,1,4,1,0,0,1,1,202202,1,1023
9000013398,14272.48275,18767.38311,0,2,3,2,2,2,1,2,2,4,22,1,6,6,1,2,2,1,2,2,4,5,1,5,1,0,0,2,1,202202,1,1023
9000013411,8149.770793,10470.24088,0,1,3,3,1,2,1,2,1,2,21,1,7,7,3,1,1,2,1,1,5,5,1,4,1,0,0,1,1,202202,1,1023
9000013438,6158.159251,8666.173667,0,2,4,1,2,2,1,2,2,0,22,1,6,6,1,3,2,1,4,2,4,3,2,6,1,0,1,2,1,202202,2,1023
9000013440,8484.468453,11225.17729,0,2,2,3,1,2,1,2,2,6,21,1,7,7,1,3,0,1,6,1,5,5,1,4,1,1,0,3,1,202202,1,1023
9000013450,24467.77377,36640.16144,0,1,3,3,1,2,1,2,1,2,21,1,11,11,3,2,0,1,7,1,5,3,1,4,1,1,0,2,1,202208,1,1023
9000013509,17775.81192,23475.41356,0,2,1,1,2,2,1,2,3,4,23,1,3,3,1,3,2,2,8,3,3,3,4,6,2,1,0,3,2,202202,1,1024
9000013512,6288.230315,0,21016.99486,1,1,1,2,2,1,2,1,0,22,1,6,6,1,1,1,2,1,2,4,1,1,3,1,0,0,1,1,202202,1,1023
9000013514,4876.60511,0,21391.58269,1,1,2,1,2,1,2,1,0,21,1,4,4,1,1,1,2,9,1,5,1,4,6,2,0,0,1,2,202202,0,1024
9000013519,9126.325097,13439.36552,0,2,2,1,1,2,1,2,2,2,21,1,7,7,1,2,2,1,10,1,5,3,1,4,1,0,0,2,1,202202,1,1023
9000013522,48153.16303,59473.21043,0,1,3,1,2,2,1,1,0,0,23,1,2,2,97,1,0,2,1,3,1,4,4,6,2,0,0,1,1,202201,0,1023
9000013525,4340.790083,6092.529942,0,2,1,1,1,2,1,2,2,2,21,1,7,7,1,2,2,1,10,1,5,2,1,4,1,0,0,2,1,202201,0,1023
9000013533,10616.88335,13595.82532,0,2,3,3,2,2,1,2,2,2,23,1,5,5,1,2,2,2,2,3,2,6,1,2,1,0,0,2,1,202202,1,1023
9000013537,10268.80305,14079.7727,0,3,2,1,1,2,1,1,2,1,21,1,6,6,1,3,2,1,10,1,5,2,1,4,1,0,0,3,1,202202,2,1023
9000013541,12664.04779,18181.61934,0,1,3,3,1,2,1,1,1,2,21,1,11,11,1,1,1,2,1,1,5,4,1,4,1,0,0,1,1,202203,1,1023
9000013565,7541.302008,10438.4549,0,1,3,3,1,2,1,2,0,7,21,1,9,9,1,1,0,2,1,1,5,6,1,4,1,0,0,1,1,202202,1,1023
9000013572,10465.40847,15554.61225,0,1,3,3,2,2,1,2,1,2,23,1,10,10,1,3,1,1,5,3,2,5,1,1,1,2,0,3,1,202201,1,1023
9000013589,7658.409122,10318.13602,0,2,2,2,1,2,1,2,2,8,21,1,9,9,3,2,2,1,10,1,5,3,1,4,1,0,0,2,1,202202,0,1023
9000013594,16023.92866,23990.48031,0,2,1,1,2,2,1,2,2,5,23,1,10,10,1,2,3,1,2,3,3,5,1,2,1,0,0,2,1,202201,2,1023
9000013598,32534.2928,45481.59602,0,2,2,1,1,2,1,2,2,0,21,1,5,5,1,2,1,1,10,1,5,4,1,4,1,0,0,2,1,202201,0,1023
9000013613,6154.553515,7908.025181,0,1,1,1,1,2,1,2,1,2,21,1,6,6,1,1,1,2,1,1,5,2,1,4,1,0,0,1,1,202201,1,1023
9000013626,3438.509684,0,9938.247655,2,1,1,1,2,1,2,2,5,21,1,10,10,1,2,2,1,2,1,5,1,1,4,1,0,0,2,1,202202,2,1023
9000013657,5170.459345,6515.041983,0,2,3,2,2,2,1,2,2,12,22,1,6,6,1,2,2,1,2,2,4,2,1,3,1,0,0,2,1,202201,2,1023
9000013670,7515.084035,0,30137.30961,2,2,1,1,2,1,2,2,4,21,1,7,7,1,2,2,1,10,1,5,1,1,4,1,0,0,2,1,202201,0,1023
9000013703,23552.94872,0,64044.38168,2,2,1,2,2,1,2,2,0,22,1,8,8,1,2,1,1,10,2,4,1,1,3,1,0,0,2,1,202202,1,1023
9000013704,25953.91121,35915.87315,0,2,2,1,2,2,1,2,2,5,23,1,4,4,1,2,2,1,10,3,1,4,1,1,1,0,0,2,1,202201,0,1023
9000013707,8045.074901,10149.30839,0,1,3,3,1,2,1,2,1,5,21,1,6,6,1,1,1,2,1,1,5,2,1,4,1,0,0,1,1,202201,1,1023
9000013744,48605.94018,67569.22413,0,2,3,3,1,2,1,1,1,0,21,1,2,2,97,2,0,1,2,1,5,2,1,4,1,0,0,2,1,202202,0,1023
9000013761,7772.159554,10205.29464,0,1,2,1,2,2,1,2,1,2,22,1,4,4,1,1,1,2,9,2,4,2,1,3,1,0,0,1,1,202201,0,1023
9000013772,14559.91763,19665.31813,0,2,2,1,2,2,1,2,2,2,23,1,3,3,1,2,2,1,10,3,1,2,4,6,2,0,0,2,2,202201,0,1024
9000013774,25238.54649,34546.72031,0,1,3,3,2,2,1,2,0,2,22,1,1,1,1,1,0,2,1,2,4,2,2,6,1,0,0,1,1,202201,0,1023
9000013812,11111.0163,16402.80703,0,4,2,1,1,2,1,2,4,6,21,1,10,10,1,4,4,1,10,1,5,2,1,4,1,0,0,4,1,202202,3,1023
9000013821,13086.28006,18317.81721,0,3,1,1,1,2,1,2,3,2,21,1,7,7,1,3,6,1,10,1,5,5,1,4,1,0,0,3,1,202202,1,1023
9000013826,16939.95554,26999.20892,0,2,1,2,2,2,1,2,2,2,23,1,11,11,2,2,2,1,2,3,1,5,1,2,1,0,0,2,1,202202,1,1023
9000013828,31673.82257,42111.31229,0,3,2,3,1,2,1,1,2,8,21,1,6,6,1,3,2,1,2,1,5,2,1,4,1,0,0,3,1,202202,3,1023
9000013837,8049.98813,11084.60161,0,1,2,1,1,2,1,2,1,0,21,1,3,3,1,1,1,2,9,1,5,5,1,4,1,0,0,1,1,202202,0,1023
9000013847,9418.751927,12695.00208,0,1,1,1,2,2,1,2,1,6,23,1,8,8,3,2,1,1,5,3,3,6,1,1,1,1,0,2,1,202202,1,1023
9000013854,14421.64612,18614.27794,0,1,3,3,2,2,1,2,1,2,23,1,3,3,1,1,1,2,9,3,1,3,1,2,1,0,0,1,1,202202,0,1023
9000013855,12730.69605,17840.34606,0,1,3,3,1,2,1,2,1,0,21,1,10,10,1,1,1,2,1,1,5,6,1,4,1,0,0,1,1,202202,1,1023
9000013856,19312.46172,25393.17631,0,1,3,3,1,2,1,2,0,2,21,1,3,3,2,1,0,2,1,1,5,3,1,4,1,0,0,1,1,202203,1,1023
