HOUSEID,WTHHFIN,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,HHFAMINC_IMP,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSASIZE,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,WRKCOUNT
0,4683.562599,2,1,1,1,1,1,2,2,7,11,11,4,2,1,4,5,4,1,2,0,4,1,1
0,2953.682712,2,3,3,2,1,1,2,2,6,13,7,2,1,1,2,3,2,1,0,0,2,1,2
0,9825.617473,1,3,3,1,1,1,2,1,0,11,10,1,0,2,1,5,4,1,0,0,1,1,1
0,9609.157141,2,3,3,1,1,1,2,2,2,11,7,4,1,1,6,4,4,1,2,0,4,1,1
0,4771.408635,1,1,2,2,1,1,2,1,0,12,11,1,1,2,1,4,3,1,0,0,1,1,1
0,7518.766643,2,1,1,1,1,1,2,2,4,11,11,3,2,1,4,5,4,1,0,1,2,1,2
0,4047.551952,1,2,1,1,1,1,2,1,1,11,6,1,1,2,9,5,4,1,0,0,1,1,0
0,4499.413148,2,3,3,1,1,1,2,2,4,11,7,2,2,1,2,5,4,1,0,0,2,1,2
0,5202.127231,2,3,3,1,1,1,2,1,8,11,6,2,1,1,2,5,4,1,0,0,2,1,2
0,6499.49122,2,2,1,1,1,1,2,2,0,11,10,2,2,1,10,4,4,1,0,0,2,1,0
0,68568.94724,1,3,3,2,1,1,1,0,0,13,2,1,0,2,1,3,6,1,0,0,1,1,0
0,7234.115376,2,1,1,2,1,1,2,2,6,12,10,5,2,1,4,4,6,2,1,2,3,2,1
0,9047.270199,2,2,1,2,1,1,2,2,7,13,6,2,3,1,10,3,6,2,0,0,2,2,1
0,6781.898043,2,2,1,1,1,1,2,2,0,11,7,2,2,1,10,5,6,2,0,0,2,1,0
0,10752.85516,2,2,1,2,1,1,2,2,1,12,6,2,2,1,10,4,3,1,0,0,2,1,0
1,6152.523282,2,1,1,1,1,1,2,2,2,11,11,2,2,1,2,4,4,1,0,0,2,1,2
0,36860.17918,3,1,3,1,1,1,2,3,0,13,6,3,3,1,2,3,3,1,0,0,3,1,0
0,15895.45368,3,1,1,2,1,1,2,3,7,13,11,3,2,1,10,3,6,2,0,0,3,1,2
0,16534.33541,1,2,1,1,1,1,2,1,3,11,6,1,1,2,1,4,4,1,0,0,1,1,1
0,4079.470338,2,1,1,2,1,1,2,2,0,13,6,2,2,1,10,2,6,2,0,0,2,2,0
0,8399.761666,2,2,1,2,1,1,2,2,5,12,5,2,2,1,10,4,6,2,0,0,2,1,0
0,7506.812833,8,3,3,2,1,1,2,2,8,13,5,8,1,2,2,1,1,1,0,0,8,1,1
0,15145.40677,1,3,3,1,1,1,2,1,0,11,5,1,3,2,1,5,4,1,0,0,1,1,1
0,8733.89,3,1,3,1,1,1,2,3,6,11,8,4,2,1,4,5,4,1,0,1,3,1,2
0,21141.25124,2,1,1,2,1,1,2,2,22,13,7,6,2,1,6,3,2,1,4,0,6,1,2
0,24093.60045,1,3,3,1,1,1,1,1,0,11,4,3,1,1,5,5,4,1,2,0,3,1,1
0,4473.237261,1,1,1,1,1,1,2,1,0,11,9,1,1,2,1,5,4,1,0,0,1,1,1
0,42090.42657,2,1,3,2,1,1,2,2,4,13,11,2,2,1,2,1,6,2,0,0,2,2,2
0,9631.763103,1,1,1,2,1,1,2,1,7,13,11,1,1,2,1,1,6,1,0,0,1,1,1
0,7259.333072,2,2,1,2,1,1,2,2,4,13,7,2,2,1,10,1,1,1,0,0,2,1,0
0,3722.010699,1,1,1,2,1,1,2,1,0,14,9,1,1,2,9,6,6,2,0,0,1,2,0
0,5548.839892,2,1,1,2,1,1,2,2,0,14,5,2,2,1,10,6,6,2,0,0,2,2,0
0,3598.361272,1,3,3,2,1,1,2,1,0,13,4,1,1,2,9,1,6,2,0,0,1,2,0
0,7112.377621,2,1,1,2,1,1,2,2,15,13,6,4,2,1,6,1,6,1,2,0,4,1,2
0,5872.11953,2,2,1,2,1,1,2,2,0,13,6,2,2,1,10,1,3,1,0,0,2,1,0
0,6257.376021,3,1,1,2,1,1,2,3,6,14,11,3,3,1,2,6,6,1,0,0,3,1,3
0,3277.028214,1,1,1,2,1,1,2,1,0,14,3,1,2,2,1,6,6,2,0,0,1,2,0
0,5186.744532,2,2,1,2,1,1,2,2,3,14,7,2,2,1,10,6,6,2,0,0,2,2,1
0,4947.035966,2,1,1,2,1,1,2,2,4,13,6,2,2,1,10,1,6,2,0,0,2,2,1
0,11543.87748,1,2,1,2,2,1,2,1,2,22,2,1,1,2,9,4,3,1,0,0,1,1,0
0,18662.56757,1,1,1,1,2,1,2,1,0,21,6,1,0,2,1,5,4,1,0,0,1,1,1
0,4090.131565,1,3,3,1,2,1,2,0,2,21,3,1,0,2,1,5,4,1,0,0,1,1,0
0,20773.77312,2,3,3,1,2,1,2,0,2,21,6,2,0,1,2,5,4,1,0,0,2,1,1
0,3597.023014,2,1,1,1,2,1,2,2,4,21,7,2,2,1,10,5,4,1,0,0,2,1,0
0,28672.83578,1,3,3,1,2,1,2,0,0,21,5,1,0,2,9,5,4,1,0,0,1,1,0
0,33060.05076,4,1,1,1,2,1,2,4,7,21,9,4,4,1,8,5,4,1,0,0,4,1,3
0,15755.10487,2,1,1,2,2,1,2,2,7,22,9,4,2,1,4,4,5,1,1,1,3,1,2
0,7433.531604,3,2,1,1,2,1,2,3,12,21,10,3,3,1,10,5,4,1,0,0,3,1,2
0,5471.357817,1,1,4,2,2,1,2,1,0,23,5,1,2,2,9,3,3,1,0,0,1,1,1
0,11880.07208,3,1,1,2,2,1,2,2,3,22,11,3,2,1,10,4,5,1,0,0,3,1,2
0,7452.244473,1,3,3,1,2,1,2,1,0,21,7,1,1,2,1,5,4,1,0,0,1,1,1
0,14272.48275,2,3,2,2,2,1,2,2,4,22,6,2,2,1,2,4,5,1,0,0,2,1,1
0,8149.770793,1,3,3,1,2,1,2,1,2,21,7,1,1,2,1,5,4,1,0,0,1,1,1
0,6158.159251,2,4,1,2,2,1,2,2,0,22,6,3,2,1,4,4,6,1,0,1,2,1,2
0,8484.468453,2,2,3,1,2,1,2,2,6,21,7,3,0,1,6,5,4,1,1,0,3,1,1
0,24467.77377,1,3,3,1,2,1,2,1,2,21,11,2,0,1,7,5,4,1,1,0,2,1,1
0,17775.81192,2,1,1,2,2,1,2,3,4,23,3,3,2,2,8,3,6,2,1,0,3,2,1
0,6288.230315,1,1,1,2,2,1,2,1,0,22,6,1,1,2,1,4,3,1,0,0,1,1,1
0,4876.60511,1,1,2,1,2,1,2,1,0,21,4,1,1,2,9,5,6,2,0,0,1,2,0
