HOUSEID,VEHID,VEHYEAR,MAKE,HHVEHCNT,VEHTYPE,VEHFUEL,VEHCOMMERCIAL,VEHCOM_RS,VEHCOM_DEL,VEHCOM_OTH,COMMERCIALFREQ,HHVEHUSETIME_RS,HHVEHUSETIME_DEL,HHVEHUSETIME_OTH,VEHOWNED,WHOMAIN,VEHCASEID,WTHHFIN,WTHHFIN5D,WTHHFIN2D,ANNMILES,HYBRID,VEHAGE,VEHOWNMO,NUMADLT,HOMEOWN,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CDIVMSAR,HHFAMINC,HH_RACE,HHSIZE,LIF_CYC,MSACAT,MSASIZE,TRAVDAY,URBAN,URBANSIZE,URBRUR,TDAYDATE,WRKCOUNT,STRATUMID
9000013002,1,2015,48,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,9.00E+11,4683.562599,0,14269.46421,2000,2,7,-1,2,1,1,1,1,2,2,11,11,1,4,4,1,5,1,1,4,1,202202,1,1021
9000013002,2,2019,48,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,9.00E+11,4683.562599,0,14269.46421,10000,2,3,-1,2,1,1,1,1,2,2,11,11,1,4,4,1,5,1,1,4,1,202202,1,1021
9000013016,1,2011,49,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,9.00E+11,2953.682712,3785.827852,0,10000,2,11,-1,2,3,2,1,1,2,2,13,7,1,2,2,3,3,4,1,2,1,202202,2,1021
9000013039,1,2015,35,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,9.00E+11,9609.157141,12211.96792,0,5000,2,7,-1,2,3,1,1,1,2,2,11,7,1,4,6,1,4,5,1,4,1,202201,1,1021
9000013041,1,2014,34,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,9.00E+11,4771.408635,6848.795739,0,5000,2,8,-1,1,1,2,1,1,2,1,12,11,1,1,1,2,4,2,1,3,1,202201,1,1021
9000013042,1,2017,0,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,9.00E+11,7518.766643,10909.47688,0,70000,2,5,-1,2,1,1,1,1,2,2,11,11,3,3,4,1,5,6,1,4,1,202202,2,1021
9000013042,2,2000,34,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,9.00E+11,7518.766643,10909.47688,0,20,2,22,-1,2,1,1,1,1,2,2,11,11,3,3,4,1,5,6,1,4,1,202202,2,1021
9000013043,1,2014,63,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,9.00E+11,4047.551952,5065.291441,0,8000,2,8,-1,1,2,1,1,1,2,1,11,6,1,1,9,1,5,3,1,4,1,202202,0,1021
9000013044,1,2009,35,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,9.00E+11,4499.413148,5886.673248,0,500,2,13,-1,2,3,1,1,1,2,2,11,7,1,2,2,1,5,6,1,4,1,202202,2,1021
9000013044,2,2017,35,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,9.00E+11,4499.413148,5886.673248,0,3000,2,5,-1,2,3,1,1,1,2,2,11,7,1,2,2,1,5,6,1,4,1,202202,2,1021
9000013045,1,2011,48,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,9.00E+11,5202.127231,6508.938236,0,6000,2,11,-1,2,3,1,1,1,2,1,11,6,1,2,2,1,5,2,1,4,1,202202,2,1021
9000013046,1,2017,48,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,9.00E+11,6499.49122,0,17706.06828,10000,2,5,-1,2,2,1,1,1,2,2,11,10,1,2,10,1,4,1,1,4,1,202201,0,1021
9000013046,2,2019,6,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,2,2,9.00E+11,6499.49122,0,17706.06828,4500,2,3,8,2,2,1,1,1,2,2,11,10,1,2,10,1,4,1,1,4,1,202201,0,1021
9000013068,1,2022,63,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,2,1,9.00E+11,7234.115376,0,11378.67443,32000,2,1,6,2,1,2,1,1,2,2,12,10,1,5,4,2,4,1,4,6,2,202202,1,1022
9000013068,2,2020,12,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,9.00E+11,7234.115376,0,11378.67443,200,2,2,-1,2,1,2,1,1,2,2,12,10,1,5,4,2,4,1,4,6,2,202202,1,1022
